Year,Destination_Country,Region,GDP_India_USD_Billion,Permanent_Migrants,Remittance_USD_Billion,Students,Temporary_Workers,Total_Indian_Migrants,Unemployment_India,Destination_Country_Full,Migrant_YoY_Growth_Pct,Temporary_Worker_Share_Pct,Student_Share_Pct,Remittance_per_Migrant_USD_Th,Migrant_3yr_Moving_Avg,High_Migration_Flag,India_Unemployment_Category
2000,Australia,Oceania,468.4,,12.88,,,173000.0,7.62,Australia,,,,74.45086705202313,173000.0,Normal,Moderate (6-8%)
2001,Australia,Oceania,485.44,,14.27,,,,7.61,Australia,,,,,173000.0,Normal,Moderate (6-8%)
2002,Australia,Oceania,514.94,,15.74,,,,7.68,Australia,,,,,173000.0,Normal,Moderate (6-8%)
2003,Australia,Oceania,607.7,,21.0,,,,7.63,Australia,,,,,,Normal,Moderate (6-8%)
2004,Australia,Oceania,709.15,,18.75,,,,7.6,Australia,,,,,,Normal,Moderate (6-8%)
2005,Australia,Oceania,820.38,,22.13,,,,7.55,Australia,,,,,,Normal,Moderate (6-8%)
2006,Australia,Oceania,940.26,,28.33,,,,7.55,Australia,,,,,,Normal,Moderate (6-8%)
2007,Australia,Oceania,1217.0,,37.22,,,,7.56,Australia,,,,,,Normal,Moderate (6-8%)
2008,Australia,Oceania,1199.0,,49.98,,,,7.63,Australia,,,,,,Normal,Moderate (6-8%)
2009,Australia,Oceania,1342.0,,49.2,,,,7.64,Australia,,,,,,Normal,Moderate (6-8%)
2010,Australia,Oceania,1676.0,17000.0,53.48,,,330000.0,7.63,Australia,,,,162.06060606060606,330000.0,Normal,Moderate (6-8%)
2011,Australia,Oceania,1823.0,,62.5,,,,7.61,Australia,,,,,330000.0,Normal,Moderate (6-8%)
2012,Australia,Oceania,1828.0,,68.82,,,,7.64,Australia,,,,,330000.0,Normal,Moderate (6-8%)
2013,Australia,Oceania,1857.0,,69.97,,,,7.68,Australia,,,,,,Normal,Moderate (6-8%)
2014,Australia,Oceania,2039.0000000000002,,70.39,,,,7.66,Australia,,,,,,Normal,Moderate (6-8%)
2015,Australia,Oceania,2104.0,,68.91,,,448000.0,7.63,Australia,,,,153.81696428571428,448000.0,Normal,Moderate (6-8%)
2016,Australia,Oceania,2295.0,,62.74,,,,7.61,Australia,,,,,448000.0,Normal,Moderate (6-8%)
2017,Australia,Oceania,2651.0,33310.0,68.97,49469.0,16124.0,,7.63,Australia,,,,,448000.0,Normal,Moderate (6-8%)
2018,Australia,Oceania,2703.0,33611.0,78.79,66449.0,22357.0,,7.65,Australia,,,,,,Normal,Moderate (6-8%)
2019,Australia,Oceania,2836.0,25698.0,83.33,55560.0,13434.0,,6.51,Australia,,,,,,Normal,Moderate (6-8%)
2020,Australia,Oceania,2675.0,21791.0,83.15,47031.0,10071.0,721000.0,7.86,Australia,,1.3968099861303744,6.523023578363383,115.3259361997226,721000.0,High,Moderate (6-8%)
2021,Australia,Oceania,3167.0,24324.0,89.38,200325.0,18717.0,,6.38,Australia,,,,,721000.0,Normal,Moderate (6-8%)
2022,Australia,Oceania,3346.0,41145.0,111.22,357038.0,27402.0,,4.82,Australia,,,,,721000.0,Normal,Low (<6%)
2023,Australia,Oceania,3638.0,,119.53,287259.0,,,4.17,Australia,,,,,,Normal,Low (<6%)
2024,Australia,Oceania,3910.0,,137.67,302758.0,,916000.0,4.17,Australia,,,33.05218340611354,150.2947598253275,916000.0,High,Low (<6%)
2025,Australia,Oceania,,,,,,,4.22,Australia,,,,,916000.0,Normal,Low (<6%)
2000,Canada,North America,468.4,26122.0,12.88,,,217000.0,7.62,Canada,,,,59.354838709677416,217000.0,Normal,Moderate (6-8%)
2001,Canada,North America,485.44,,14.27,,,,7.61,Canada,,,,,217000.0,Normal,Moderate (6-8%)
2002,Canada,North America,514.94,,15.74,,,,7.68,Canada,,,,,217000.0,Normal,Moderate (6-8%)
2003,Canada,North America,607.7,,21.0,,,,7.63,Canada,,,,,,Normal,Moderate (6-8%)
2004,Canada,North America,709.15,,18.75,,,,7.6,Canada,,,,,,Normal,Moderate (6-8%)
2005,Canada,North America,820.38,,22.13,,,,7.55,Canada,,,,,,Normal,Moderate (6-8%)
2006,Canada,North America,940.26,,28.33,,,,7.55,Canada,,,,,,Normal,Moderate (6-8%)
2007,Canada,North America,1217.0,,37.22,,,,7.56,Canada,,,,,,Normal,Moderate (6-8%)
2008,Canada,North America,1199.0,,49.98,,,,7.63,Canada,,,,,,Normal,Moderate (6-8%)
2009,Canada,North America,1342.0,,49.2,,,,7.64,Canada,,,,,,Normal,Moderate (6-8%)
2010,Canada,North America,1676.0,30311.0,53.48,,,540000.0,7.63,Canada,,,,99.03703703703704,540000.0,Normal,Moderate (6-8%)
2011,Canada,North America,1823.0,,62.5,,,,7.61,Canada,,,,,540000.0,Normal,Moderate (6-8%)
2012,Canada,North America,1828.0,,68.82,,,,7.64,Canada,,,,,540000.0,Normal,Moderate (6-8%)
2013,Canada,North America,1857.0,,69.97,,,,7.68,Canada,,,,,,Normal,Moderate (6-8%)
2014,Canada,North America,2039.0000000000002,,70.39,,,,7.66,Canada,,,,,,Normal,Moderate (6-8%)
2015,Canada,North America,2104.0,39340.0,68.91,172600.0,,710000.0,7.63,Canada,,,24.309859154929576,97.05633802816901,710000.0,Normal,Moderate (6-8%)
2016,Canada,North America,2295.0,,62.74,,,,7.61,Canada,,,,,710000.0,Normal,Moderate (6-8%)
2017,Canada,North America,2651.0,,68.97,,,,7.63,Canada,,,,,710000.0,Normal,Moderate (6-8%)
2018,Canada,North America,2703.0,69985.0,78.79,,,,7.65,Canada,,,,,,Normal,Moderate (6-8%)
2019,Canada,North America,2836.0,85590.0,83.33,,,,6.51,Canada,,,,,,Normal,Moderate (6-8%)
2020,Canada,North America,2675.0,42875.0,83.15,,,1020000.0,7.86,Canada,,,,81.51960784313725,1020000.0,High,Moderate (6-8%)
2021,Canada,North America,3167.0,127945.0,89.38,,,,6.38,Canada,,,,,1020000.0,Normal,Moderate (6-8%)
2022,Canada,North America,3346.0,118250.0,111.22,,,,4.82,Canada,,,,,1020000.0,Normal,Low (<6%)
2023,Canada,North America,3638.0,139790.0,119.53,427000.0,,,4.17,Canada,,,,,,Normal,Low (<6%)
2024,Canada,North America,3910.0,127375.0,137.67,,,1280000.0,4.17,Canada,,,,107.5546875,1280000.0,High,Low (<6%)
2025,Canada,North America,,98825.0,,,,,4.22,Canada,,,,,1280000.0,Normal,Low (<6%)
2000,Germany,Europe,468.4,,12.88,,,,7.62,Germany,,,,,,Normal,Moderate (6-8%)
2001,Germany,Europe,485.44,,14.27,,,,7.61,Germany,,,,,,Normal,Moderate (6-8%)
2002,Germany,Europe,514.94,,15.74,,,,7.68,Germany,,,,,,Normal,Moderate (6-8%)
2003,Germany,Europe,607.7,,21.0,,,,7.63,Germany,,,,,,Normal,Moderate (6-8%)
2004,Germany,Europe,709.15,,18.75,,,,7.6,Germany,,,,,,Normal,Moderate (6-8%)
2005,Germany,Europe,820.38,,22.13,,,,7.55,Germany,,,,,,Normal,Moderate (6-8%)
2006,Germany,Europe,940.26,,28.33,,,,7.55,Germany,,,,,,Normal,Moderate (6-8%)
2007,Germany,Europe,1217.0,,37.22,,,,7.56,Germany,,,,,,Normal,Moderate (6-8%)
2008,Germany,Europe,1199.0,,49.98,,,,7.63,Germany,,,,,,Normal,Moderate (6-8%)
2009,Germany,Europe,1342.0,,49.2,,,,7.64,Germany,,,,,,Normal,Moderate (6-8%)
2010,Germany,Europe,1676.0,,53.48,,,60000.0,7.63,Germany,,,,891.3333333333334,60000.0,Normal,Moderate (6-8%)
2011,Germany,Europe,1823.0,,62.5,,,,7.61,Germany,,,,,60000.0,Normal,Moderate (6-8%)
2012,Germany,Europe,1828.0,,68.82,,,,7.64,Germany,,,,,60000.0,Normal,Moderate (6-8%)
2013,Germany,Europe,1857.0,,69.97,,,,7.68,Germany,,,,,,Normal,Moderate (6-8%)
2014,Germany,Europe,2039.0000000000002,,70.39,,,,7.66,Germany,,,,,,Normal,Moderate (6-8%)
2015,Germany,Europe,2104.0,,68.91,,,98000.0,7.63,Germany,,,,703.1632653061224,98000.0,Normal,Moderate (6-8%)
2016,Germany,Europe,2295.0,,62.74,,,,7.61,Germany,,,,,98000.0,Normal,Moderate (6-8%)
2017,Germany,Europe,2651.0,,68.97,,,,7.63,Germany,,,,,98000.0,Normal,Moderate (6-8%)
2018,Germany,Europe,2703.0,,78.79,,,,7.65,Germany,,,,,,Normal,Moderate (6-8%)
2019,Germany,Europe,2836.0,,83.33,,,,6.51,Germany,,,,,,Normal,Moderate (6-8%)
2020,Germany,Europe,2675.0,,83.15,28905.0,,210000.0,7.86,Germany,,,13.764285714285714,395.95238095238096,210000.0,Normal,Moderate (6-8%)
2021,Germany,Europe,3167.0,,89.38,,,,6.38,Germany,,,,,210000.0,Normal,Moderate (6-8%)
2022,Germany,Europe,3346.0,,111.22,,,,4.82,Germany,,,,,210000.0,Normal,Low (<6%)
2023,Germany,Europe,3638.0,,119.53,,,,4.17,Germany,,,,,,Normal,Low (<6%)
2024,Germany,Europe,3910.0,,137.67,,,285000.0,4.17,Germany,,,,483.05263157894734,285000.0,High,Low (<6%)
2025,Germany,Europe,,,,60000.0,,,4.22,Germany,,,,,285000.0,Normal,Low (<6%)
2000,Singapore,Asia,468.4,,12.88,,,85000.0,7.62,Singapore,,,,151.52941176470588,85000.0,Normal,Moderate (6-8%)
2001,Singapore,Asia,485.44,,14.27,,,,7.61,Singapore,,,,,85000.0,Normal,Moderate (6-8%)
2002,Singapore,Asia,514.94,,15.74,,,,7.68,Singapore,,,,,85000.0,Normal,Moderate (6-8%)
2003,Singapore,Asia,607.7,,21.0,,,,7.63,Singapore,,,,,,Normal,Moderate (6-8%)
2004,Singapore,Asia,709.15,,18.75,,,,7.6,Singapore,,,,,,Normal,Moderate (6-8%)
2005,Singapore,Asia,820.38,,22.13,,,,7.55,Singapore,,,,,,Normal,Moderate (6-8%)
2006,Singapore,Asia,940.26,,28.33,,,,7.55,Singapore,,,,,,Normal,Moderate (6-8%)
2007,Singapore,Asia,1217.0,,37.22,,,,7.56,Singapore,,,,,,Normal,Moderate (6-8%)
2008,Singapore,Asia,1199.0,,49.98,,,,7.63,Singapore,,,,,,Normal,Moderate (6-8%)
2009,Singapore,Asia,1342.0,,49.2,,,,7.64,Singapore,,,,,,Normal,Moderate (6-8%)
2010,Singapore,Asia,1676.0,,53.48,,,210000.0,7.63,Singapore,,,,254.66666666666666,210000.0,Normal,Moderate (6-8%)
2011,Singapore,Asia,1823.0,,62.5,,,,7.61,Singapore,,,,,210000.0,Normal,Moderate (6-8%)
2012,Singapore,Asia,1828.0,,68.82,,,,7.64,Singapore,,,,,210000.0,Normal,Moderate (6-8%)
2013,Singapore,Asia,1857.0,,69.97,,,,7.68,Singapore,,,,,,Normal,Moderate (6-8%)
2014,Singapore,Asia,2039.0000000000002,,70.39,,,,7.66,Singapore,,,,,,Normal,Moderate (6-8%)
2015,Singapore,Asia,2104.0,,68.91,,,310000.0,7.63,Singapore,,,,222.29032258064515,310000.0,Normal,Moderate (6-8%)
2016,Singapore,Asia,2295.0,,62.74,,,,7.61,Singapore,,,,,310000.0,Normal,Moderate (6-8%)
2017,Singapore,Asia,2651.0,,68.97,,,,7.63,Singapore,,,,,310000.0,Normal,Moderate (6-8%)
2018,Singapore,Asia,2703.0,,78.79,,,,7.65,Singapore,,,,,,Normal,Moderate (6-8%)
2019,Singapore,Asia,2836.0,,83.33,,,,6.51,Singapore,,,,,,Normal,Moderate (6-8%)
2020,Singapore,Asia,2675.0,,83.15,,,370000.0,7.86,Singapore,,,,224.72972972972974,370000.0,High,Moderate (6-8%)
2021,Singapore,Asia,3167.0,,89.38,,,,6.38,Singapore,,,,,370000.0,Normal,Moderate (6-8%)
2022,Singapore,Asia,3346.0,,111.22,,,,4.82,Singapore,,,,,370000.0,Normal,Low (<6%)
2023,Singapore,Asia,3638.0,,119.53,,,,4.17,Singapore,,,,,,Normal,Low (<6%)
2024,Singapore,Asia,3910.0,,137.67,,,395000.0,4.17,Singapore,,,,348.53164556962025,395000.0,High,Low (<6%)
2025,Singapore,Asia,,,,,,,4.22,Singapore,,,,,395000.0,Normal,Low (<6%)
2000,UAE,Middle East,468.4,,12.88,,,950000.0,7.62,United Arab Emirates,,,,13.557894736842105,950000.0,Normal,Moderate (6-8%)
2001,UAE,Middle East,485.44,,14.27,,,,7.61,United Arab Emirates,,,,,950000.0,Normal,Moderate (6-8%)
2002,UAE,Middle East,514.94,,15.74,,,,7.68,United Arab Emirates,,,,,950000.0,Normal,Moderate (6-8%)
2003,UAE,Middle East,607.7,,21.0,,,,7.63,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2004,UAE,Middle East,709.15,,18.75,,,,7.6,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2005,UAE,Middle East,820.38,,22.13,,,,7.55,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2006,UAE,Middle East,940.26,,28.33,,,,7.55,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2007,UAE,Middle East,1217.0,,37.22,,,,7.56,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2008,UAE,Middle East,1199.0,,49.98,,,,7.63,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2009,UAE,Middle East,1342.0,,49.2,,,,7.64,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2010,UAE,Middle East,1676.0,,53.48,,,2250000.0,7.63,United Arab Emirates,,,,23.76888888888889,2250000.0,Normal,Moderate (6-8%)
2011,UAE,Middle East,1823.0,,62.5,,,,7.61,United Arab Emirates,,,,,2250000.0,Normal,Moderate (6-8%)
2012,UAE,Middle East,1828.0,,68.82,,,,7.64,United Arab Emirates,,,,,2250000.0,Normal,Moderate (6-8%)
2013,UAE,Middle East,1857.0,,69.97,,,,7.68,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2014,UAE,Middle East,2039.0000000000002,,70.39,,,,7.66,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2015,UAE,Middle East,2104.0,,68.91,,,2800000.0,7.63,United Arab Emirates,,,,24.610714285714284,2800000.0,Normal,Moderate (6-8%)
2016,UAE,Middle East,2295.0,,62.74,,,,7.61,United Arab Emirates,,,,,2800000.0,Normal,Moderate (6-8%)
2017,UAE,Middle East,2651.0,,68.97,,,,7.63,United Arab Emirates,,,,,2800000.0,Normal,Moderate (6-8%)
2018,UAE,Middle East,2703.0,,78.79,,,,7.65,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2019,UAE,Middle East,2836.0,,83.33,,,,6.51,United Arab Emirates,,,,,,Normal,Moderate (6-8%)
2020,UAE,Middle East,2675.0,,83.15,,,3500000.0,7.86,United Arab Emirates,,,,23.757142857142856,3500000.0,High,Moderate (6-8%)
2021,UAE,Middle East,3167.0,,89.38,,,,6.38,United Arab Emirates,,,,,3500000.0,Normal,Moderate (6-8%)
2022,UAE,Middle East,3346.0,,111.22,,,,4.82,United Arab Emirates,,,,,3500000.0,Normal,Low (<6%)
2023,UAE,Middle East,3638.0,,119.53,,,,4.17,United Arab Emirates,,,,,,Normal,Low (<6%)
2024,UAE,Middle East,3910.0,,137.67,,,3250000.0,4.17,United Arab Emirates,,,,42.36,3250000.0,High,Low (<6%)
2025,UAE,Middle East,,,,,,,4.22,United Arab Emirates,,,,,3250000.0,Normal,Low (<6%)
2000,UK,Europe,468.4,,12.88,,,570000.0,7.62,United Kingdom,,,,22.596491228070175,570000.0,Normal,Moderate (6-8%)
2001,UK,Europe,485.44,,14.27,,,,7.61,United Kingdom,,,,,570000.0,Normal,Moderate (6-8%)
2002,UK,Europe,514.94,,15.74,,,,7.68,United Kingdom,,,,,570000.0,Normal,Moderate (6-8%)
2003,UK,Europe,607.7,,21.0,,,,7.63,United Kingdom,,,,,,Normal,Moderate (6-8%)
2004,UK,Europe,709.15,,18.75,,,,7.6,United Kingdom,,,,,,Normal,Moderate (6-8%)
2005,UK,Europe,820.38,,22.13,,,,7.55,United Kingdom,,,,,,Normal,Moderate (6-8%)
2006,UK,Europe,940.26,,28.33,,,,7.55,United Kingdom,,,,,,Normal,Moderate (6-8%)
2007,UK,Europe,1217.0,,37.22,,,,7.56,United Kingdom,,,,,,Normal,Moderate (6-8%)
2008,UK,Europe,1199.0,,49.98,,,,7.63,United Kingdom,,,,,,Normal,Moderate (6-8%)
2009,UK,Europe,1342.0,,49.2,,,,7.64,United Kingdom,,,,,,Normal,Moderate (6-8%)
2010,UK,Europe,1676.0,,53.48,,,710000.0,7.63,United Kingdom,,,,75.32394366197182,710000.0,Normal,Moderate (6-8%)
2011,UK,Europe,1823.0,,62.5,,,,7.61,United Kingdom,,,,,710000.0,Normal,Moderate (6-8%)
2012,UK,Europe,1828.0,,68.82,,,,7.64,United Kingdom,,,,,710000.0,Normal,Moderate (6-8%)
2013,UK,Europe,1857.0,,69.97,,,,7.68,United Kingdom,,,,,,Normal,Moderate (6-8%)
2014,UK,Europe,2039.0000000000002,,70.39,,,,7.66,United Kingdom,,,,,,Normal,Moderate (6-8%)
2015,UK,Europe,2104.0,,68.91,,,800000.0,7.63,United Kingdom,,,,86.1375,800000.0,Normal,Moderate (6-8%)
2016,UK,Europe,2295.0,,62.74,,,,7.61,United Kingdom,,,,,800000.0,Normal,Moderate (6-8%)
2017,UK,Europe,2651.0,,68.97,,,,7.63,United Kingdom,,,,,800000.0,Normal,Moderate (6-8%)
2018,UK,Europe,2703.0,,78.79,,,,7.65,United Kingdom,,,,,,Normal,Moderate (6-8%)
2019,UK,Europe,2836.0,,83.33,,57087.0,,6.51,United Kingdom,,,,,,Normal,Moderate (6-8%)
2020,UK,Europe,2675.0,,83.15,,31238.0,890000.0,7.86,United Kingdom,,3.5098876404494384,,93.42696629213484,890000.0,High,Moderate (6-8%)
2021,UK,Europe,3167.0,,89.38,,64839.0,,6.38,United Kingdom,,,,,890000.0,Normal,Moderate (6-8%)
2022,UK,Europe,3346.0,,111.22,,59944.0,,4.82,United Kingdom,,,,,890000.0,Normal,Low (<6%)
2023,UK,Europe,3638.0,,119.53,159371.0,162655.0,,4.17,United Kingdom,,,,,,Normal,Low (<6%)
2024,UK,Europe,3910.0,,137.67,92355.0,81463.0,970000.0,4.17,United Kingdom,,8.398247422680411,9.521134020618556,141.9278350515464,970000.0,High,Low (<6%)
2025,UK,Europe,,,,,,,4.22,United Kingdom,,,,,970000.0,Normal,Low (<6%)
2000,USA,North America,468.4,,12.88,,,1005000.0,7.62,United States,,,,12.81592039800995,1005000.0,Normal,Moderate (6-8%)
2001,USA,North America,485.44,,14.27,,,,7.61,United States,,,,,1005000.0,Normal,Moderate (6-8%)
2002,USA,North America,514.94,,15.74,,,,7.68,United States,,,,,1005000.0,Normal,Moderate (6-8%)
2003,USA,North America,607.7,,21.0,,,,7.63,United States,,,,,,Normal,Moderate (6-8%)
2004,USA,North America,709.15,,18.75,,,,7.6,United States,,,,,,Normal,Moderate (6-8%)
2005,USA,North America,820.38,,22.13,,,1390000.0,7.55,United States,,,,15.920863309352518,1390000.0,Normal,Moderate (6-8%)
2006,USA,North America,940.26,,28.33,,,,7.55,United States,,,,,1390000.0,Normal,Moderate (6-8%)
2007,USA,North America,1217.0,,37.22,,,,7.56,United States,,,,,1390000.0,Normal,Moderate (6-8%)
2008,USA,North America,1199.0,,49.98,,,,7.63,United States,,,,,,Normal,Moderate (6-8%)
2009,USA,North America,1342.0,,49.2,,,,7.64,United States,,,,,,Normal,Moderate (6-8%)
2010,USA,North America,1676.0,,53.48,,,2060000.0,7.63,United States,,,,25.961165048543688,2060000.0,Normal,Moderate (6-8%)
2011,USA,North America,1823.0,,62.5,,,,7.61,United States,,,,,2060000.0,Normal,Moderate (6-8%)
2012,USA,North America,1828.0,,68.82,,,,7.64,United States,,,,,2060000.0,Normal,Moderate (6-8%)
2013,USA,North America,1857.0,,69.97,,,,7.68,United States,,,,,,Normal,Moderate (6-8%)
2014,USA,North America,2039.0000000000002,,70.39,,,,7.66,United States,,,,,,Normal,Moderate (6-8%)
2015,USA,North America,2104.0,,68.91,165918.0,,2400000.0,7.63,United States,,,6.91325,28.7125,2400000.0,Normal,Moderate (6-8%)
2016,USA,North America,2295.0,,62.74,186267.0,,,7.61,United States,,,,,2400000.0,Normal,Moderate (6-8%)
2017,USA,North America,2651.0,,68.97,196271.0,,,7.63,United States,,,,,2400000.0,Normal,Moderate (6-8%)
2018,USA,North America,2703.0,,78.79,202014.0,,,7.65,United States,,,,,,Normal,Moderate (6-8%)
2019,USA,North America,2836.0,,83.33,193124.0,,,6.51,United States,,,,,,Normal,Moderate (6-8%)
2020,USA,North America,2675.0,,83.15,167582.0,,2700000.0,7.86,United States,,,6.206740740740741,30.796296296296298,2700000.0,High,Moderate (6-8%)
2021,USA,North America,3167.0,,89.38,199182.0,,,6.38,United States,,,,,2700000.0,Normal,Moderate (6-8%)
2022,USA,North America,3346.0,,111.22,268923.0,,,4.82,United States,,,,,2700000.0,Normal,Low (<6%)
2023,USA,North America,3638.0,,119.53,331602.0,,,4.17,United States,,,,,,Normal,Low (<6%)
2024,USA,North America,3910.0,,137.67,,,3170000.0,4.17,United States,,,,43.429022082018925,3170000.0,High,Low (<6%)
2025,USA,North America,,,,,,,4.22,United States,,,,,3170000.0,Normal,Low (<6%)
